ID;family;order;low;high;coefficients
0;polynomial;2;-2;2;[ 1.40501053 -0.59899755  1.43337392]
1;polynomial;2;-2;2;[ 1.2690236   0.24299046 -1.96034102]
2;polynomial;2;-2;2;[ 0.2968965  -0.25510905 -1.75538113]
3;polynomial;2;-2;2;[0.76331399 1.59076673 0.82283503]
4;polynomial;2;-2;2;[ 1.22909943  1.925588   -1.66850093]
5;polynomial;2;-2;2;[0.32615614 0.62305896 1.92677965]
6;polynomial;2;-2;2;[ 1.72905725 -0.01783455  1.14733915]
7;polynomial;2;-2;2;[ 1.30568537 -1.49169697 -1.86753634]
8;polynomial;2;-2;2;[ 1.46510491 -1.28365863 -1.38730268]
9;polynomial;2;-2;2;[ 0.94802395 -0.80805724 -1.50617168]
10;polynomial;2;-2;2;[ 1.5932177  -0.27086651  0.88702241]
11;polynomial;2;-2;2;[ 0.62477482  1.78285122 -0.67517353]
12;polynomial;2;-2;2;[ 0.38941432  1.42438712 -0.81898478]
13;polynomial;2;-2;2;[ 0.61040732 -1.75541724 -1.26892384]
14;polynomial;2;-2;2;[1.01013047 1.00899063 0.88900465]
15;polynomial;2;-2;2;[ 1.50996303  1.12047147 -1.13438025]
16;polynomial;2;-2;2;[0.02719026 1.69587041 1.23337936]
17;polynomial;2;-2;2;[ 0.79120358 -1.97409845 -0.69471462]
18;polynomial;2;-2;2;[ 0.88807241 -1.49724725  1.84633897]
19;polynomial;2;-2;2;[1.97439675 0.38246286 1.80707141]
20;polynomial;2;-2;2;[ 0.3584222   1.77005074 -1.17177985]
21;polynomial;2;-2;2;[ 1.78154119  0.56214389 -0.4064019 ]
22;polynomial;2;-2;2;[0.28716305 0.44733216 1.75135683]
23;polynomial;2;-2;2;[1.7521948  0.42247504 0.71000219]
24;polynomial;2;-2;2;[ 0.48805778 -1.16587301  0.39319115]
25;polynomial;2;-2;2;[1.86265714 0.90242417 0.06334077]
26;polynomial;2;-2;2;[ 0.86005935 -1.67164372 -1.94654933]
27;polynomial;2;-2;2;[ 0.5015974  -1.2354825  -0.34161535]
28;polynomial;2;-2;2;[ 0.05270622  1.81947453 -0.7703663 ]
29;polynomial;2;-2;2;[ 1.49957001  0.22324885 -0.01640188]
30;polynomial;2;-2;2;[ 1.76780289 -0.89276409 -1.44876834]
31;polynomial;2;-2;2;[ 1.70762031 -0.44522022  0.41660742]
32;polynomial;2;-2;2;[ 0.31414421  1.9544245  -0.55111773]
33;polynomial;2;-2;2;[ 1.24579742  1.21738821 -0.6215145 ]
34;polynomial;2;-2;2;[ 0.40517492  1.66810006 -1.96004437]
35;polynomial;2;-2;2;[ 0.09453554 -0.84927419  0.04596814]
36;polynomial;2;-2;2;[ 1.88493185 -1.7680416   1.5964627 ]
37;polynomial;2;-2;2;[ 1.86623177 -1.40681417 -1.90621687]
38;polynomial;2;-2;2;[ 0.81365902 -1.35021313 -0.46669289]
39;polynomial;2;-2;2;[ 0.67463447  1.2725489  -1.24781777]
40;polynomial;2;-2;2;[ 0.92965051  0.15688386 -0.99577955]
41;polynomial;2;-2;2;[ 0.13994411 -0.31093435 -0.77930389]
42;polynomial;2;-2;2;[ 1.37156753  1.66654996 -1.67470308]
43;polynomial;2;-2;2;[ 0.99244449 -1.89976929 -0.84841718]
44;polynomial;2;-2;2;[ 0.11847721 -1.19474149  1.54764314]
45;polynomial;2;-2;2;[ 1.80721898  0.26684605 -1.52408052]
46;polynomial;2;-2;2;[ 1.33037694 -1.31729047 -0.01618085]
47;polynomial;2;-2;2;[ 0.85677719 -0.56145545 -1.02129502]
48;polynomial;2;-2;2;[ 0.02699311  0.65810416 -1.01256751]
49;polynomial;2;-2;2;[ 0.82318546  0.25790726 -0.65148809]
50;polynomial;2;-2;2;[ 0.1153079  -0.62827028  1.0554339 ]
51;polynomial;2;-2;2;[ 0.28598544 -1.61214959 -0.35203577]
52;polynomial;2;-2;2;[ 0.13997739 -0.64969975  0.63490084]
53;polynomial;2;-2;2;[ 0.59081382 -0.81980549  0.42020066]
54;polynomial;2;-2;2;[1.30685671 1.99916666 1.08324828]
55;polynomial;2;-2;2;[ 0.53700099 -0.69861848  0.18325741]
56;polynomial;2;-2;2;[ 0.36823451 -0.45465229  0.14319631]
57;polynomial;2;-2;2;[ 0.44344187 -0.55107577  0.1738382 ]
58;polynomial;2;-2;2;[ 1.52141077  1.58879406 -1.07622379]
59;polynomial;2;-2;2;[ 0.83705034  0.98382492 -0.3870318 ]
60;polynomial;2;-2;2;[ 0.02712795  1.93408045 -0.00393361]
61;polynomial;2;-2;2;[ 1.03671938 -1.24780546 -1.84713187]
